,artist,lyrics,song,label
0,Elijah Blake,"No, no
I ain't ever trapped out the bando
But oh Lord, don't get me wrong
I know a couple niggas that do
I'm from a place where everybody knows your name
They say I gotta watch my attitude
When they see money, man they all start actin' strange
So fuck with the ones that fuck with you
They can never say I'm brand new

It's everyday, everyday
Everyday, everyday, everyday
Everyday, everyday
Everyday, everyday
I've been talkin' my shit, nigga that's regular
I've been lovin' 'em thick, life is spectacular
I spend like I'ma die rich, nigga I'm flexin', yeah
Everyday, that's everyday
That's everyday
That's everyday
That's everyday, everyday

I see all of these wanna-be hot R&B singers
I swear you all sound the same
They start from the bottom, so far from the motto
You niggas'll never be Drake
Shout out to OVO
Most of them prolly don't know me though
I stay in the cut, I don't fuck with no
Body but I D, that's a pun on No I.D
When nobody know my name
Runnin' for my dream wasn't hard to do
You break bread, I swear they all pull out a plate
Eat with the ones who starved with you
If I'm winnin' then my crew can't lose

It's everyday, everyday
Everyday, everyday, everyday
Everyday, everyday
Everyday, everyday
I've been talkin' my shit, nigga that's regular
I've been lovin' 'em thick, life is spectacular
I spend like I'ma die rich, nigga I'm flexin', yeah
Everyday, that's everyday
That's everyday
That's everyday
That's everyday, everyday

I heard since you got money
You changed, you're actin' funny
That's why I gets on my lonely
You be lovin' when change is a hobby
Who do you dress when you ain't got nobody?

It's everyday, everyday
Everyday, everyday, everyday
Everyday, everyday
Everyday, everyday
I've been talkin' my shit, nigga that's regular
I've been lovin' 'em thick, life is spectacular
I spend like I'ma die rich, nigga I'm flexin', yeah
Everyday, that's everyday
That's everyday
That's everyday
That's everyday, everyday",Everyday,0.626
1,Elijah Blake,"The drinks go down and smoke goes up, I feel myself, got to let go
My cares get lost up in that crowd that go up, up and away yo

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

Ain't kill my vibe, don't blow my high, don't doubt that he from the band though
I'm listening to this song, now I'm up up and away yo

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

Nights like this, I go all out, up so high, I can't come down
Let me live just for right now
Yeah, yeah, bite me, I'm so gone

Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way
Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way

When I'm out at night, I chase neon lights
All of my thoughts start to echo, yeah they start to echo

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

So I'ma roll the dice, and I hope that I
Don't take more than I can handle, much than I can handle

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

Nights like this, I go all out, up so high, I can't come down
Let me live just for right now
Yeah, yeah, bite me, I'm so gone

Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way
Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way",Live Till We Die,0.63
2,Elijah Blake,"She don't live on planet Earth no more
She found love on Venus, that's her word
Said she needed space, time to explore
Now she movin' on and on and on and on

Is it might fault that you're broken, is it my fault that your'e high?
You caught me cheating with my ex-girlfriend, but instead of calling me I caught her

I was like ""man, oh shit, my new girl fuckin' with my old chick""
We both bad, so she switched, packed her bags, said she had to take a trip
To the otherside, the otherside, the otherside
She's gone, she's gone, she's gone, to the otherside

Can we get back to how it was before?
If I can't have you, at least show me what's in store
And what I've made is [?] come forward more
Then we can go on and on and on and on

Is it might fault that you're broken, is it my fault that your high?
You caught me cheating with my ex-girlfriend, but instead of calling me, you called her

I was like ""man, oh shit, my new girl fuckin' with my old chick""
We broke bad, so she switched, packed her bags, said she had to take a trip
To the otherside, the otherside, the otherside
She's gone, she's gone, she's gone, to the otherside

She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside",The Otherside,0.24
3,Elijah Blake,"Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low

Baby I'm surprised you picked up this late at night
And I'm not tryna start a fight
But I hate the way we ended and the fact you got me cheated
I hate these new beginnings even though I am the reason
The only thing I love right now is you

I miss ya going through my phone
And calling up the numbers you don't know
The make up sex, even when it's wrong
Our love was that strong

[Hook 1]
I'm just trippin' off that Grigio
It sucks to see that you don't feel me though
Pour me a glass and let my feelings blow
Hell naw, this message ain't subliminal
Aw baby, pour me a drink to get over you
Aw baby, aw baby, I ain't no drinker but it's gettin' me though

Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin'

I don't know why your father never like me
Was it because of my [?]boy ways and this white tee? Your eye
Always thought your momma was a winner
Considering her only stayed together after all those years
You think that we could learn from them

I miss ya going through my phone
And calling up the numbers you don't know
The make up sex, even when it's wrong
Our love was that strong

Nights like this, we should be trippin' off that Grigio
Telling me secrets that nobody knows
Pour us a shot and cut the music on
Now let's get started, cut these fuckin' lights off
Aw baby, I'ma pour a drink for you
Aw baby, aw baby, I'ma pour a drink for you

Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin'",Pinot,0.536
4,Elijah Blake,"I see a midnight panther, so gallant and so brave
I found, I found the answers in the thunder and the rain
You made a promise that you would never leave me alone
You broke your promise, and now I'm standing all alone

That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love

I see a fresh a cut diamond, coal minor's are dirty and cruel
Coffee, Frankie Lymon, why do fools fall in love?
I believe what you told me, when you only said the things I wanted to hear
Now I see, you are a phoney, and you're too [?] seem to mess sincere

Nah I'm not, nah I'm not, nah I'm
Nah I'm not, nah I'm not, nah I'm
Shadows and diamonds, diamonds

That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love",Shadows & Diamonds,0.371
5,Elijah Blake,"I just want to ready your mind
'Cause I'll still love you when you lie
Don't you be, be nobody, but yourself
That's who I love the most

When you smile slightly crooked
That's your style, don't you fix it
Girl you got a hold on me
Don't wanna play no games, this is do or die
And I don't mind if you get comfortable and gain a little weight
'Cause you're so fine, and just like whine you get a little better everyday

You're the only one, you're the only one
You're the only one, you're the only one
My baby

When the sun hits your eye
It turns a color, almost cocaine white
But you still see through blinding eyes
You won't judge me, wrong or right

When you smile slightly crooked
That's your style, don't you fix it
Girl you got a hold on me
Don't wanna play no games, this is do or die
And I don't mind if you get comfortable and gain a little weight
'Cause you're so fine, and just like whine you get a little better everyday

You're the only one, you're the only one
You're the only one, you're the only one
My baby

You just my style, don't you fix it

You're the only one, you're the only one
You're the only one, you're the only one
My baby",Uno,0.321
6,Elijah Harris,"To believe
Or not to believe
That is the question
It just takes a street degree
You've lied your last lie
And I've cried my last cry
I'm out the door, babe
There's other fish in the sea

Girl, make a list
Go out and find yourself a new bad thing
Girl, you need a trip
'Cause he's not worth the misery and pain
Just remember how he would tell you lies
And then pretend that everything is so sweet
Why should you sacrifice
If you're not satisfied
He's just a canine runnin' 'round in heat

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh
Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh

Girl, you must resist
Don't let him squirm his way into your heart
No, girl, I must insist
You've got to stop the fool before he starts
Just remember how he was so untrue
With all the tacky things he did to you
No need to signify
'Cause he's not worth your time
You need to find someone that's true to you

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh
Girlfriend
How could you let him treat you so bad (baby don't be sad, no)
Girlfriend
You know you were the best he ever had, oh, oh, oh

To believe
Or not to believe
That is the question
It just takes a street degree
You've lied your last lie
And I've cried my last cry
I'm out the door, babe
There's other fish in the sea

Cute (cute, cute, cute)

Hey Deele, sing

To believe
Or not to believe
That is the question
It just takes a street degree
You've lied your last lie
And I've cried my last cry
I'm out the door, babe
There's other fish in the sea

Girlfriend How could you let him treat you so bad
Girlfriend
You know you were the best he ever had

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh
Girlfriend
How could you let him treat you so bad (baby don't be sad, no)
Girlfriend
You know you were the best he ever had, oh, oh, oh

Don't let him put you down
Girl, he's been messing around
You've been used, abused
Baby, make your move
You've learned your lesson now
So turn this hurt around
You ain't no fool, 'cause you've got to bust loose

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh

Don't let him put you down
Girl, he's been messing around
You've been used, abused
Baby, make your move
You've learned your lesson now
So turn this hurt around
Don't be no fool, 'cause you've got to bust loose",Girlfriend (Main),0.601
7,Elis,"Dieses ist lange her.
Da ich deine schmalen Hande nahm
Dieses ist lange her.
Schlugst die runden Augen auf, 
Dieses ist lange her.

Am Abend, 
Wenn wir auf dunklen Pfaden gehn, 
Erscheinen unsere bleichen Gestalten. 

Wenn uns durstet, 
Trinken wir die weissen Wasser des Teichs, 
Die Susse unserer traurigen Kindheit. 

Estorbene
Ruhen wir unterm Gebusch, 
Schaun den grauen Mowen zu. 

Fruhlingsgewolke 
Streigen uber die Stadt,
Die der Monche edlere Zeiten schweigt. 

Doch wenn dunkler Wohllaut 
Die Seele heimsucht, 
Erscheinst do Weisse in des Freundes Landschaft. 

Dieses ist lange her.
Da ich deine schmalen Hande nahm
Dieses ist lange her.
Schlugst die runden Augen auf, 
Dieses ist lange her.",Abendlied,0.333
8,Elis,"A child is born
Out of the womb of a mother 
Who didn't want it 
It happened in a night
Of drunken passion and no thought 
About the consequence

Two bodies cling together 
Drunken loneliness 
Two bodies cling together 
Blind passion
Two bodies cling together 

And then it starts to grow
This little baby child 
This unwanted life 
Don't you know it has to prove 
During its whole life 
That it has a right to exist 

Two bodies cling together 
Mindless heat
Two bodies cling together 
Cruel lust
Two bodies cling together 

And then it starts to grow
This little baby child 
This unwanted life 
Don't you know it has to prove 
During its whole life 
That it has a right to exist 

A child is born
Out of the womb of a mother 
Who didn't want it 
It happened in a night
Of drunken passion and no thought 
About the consequence",Child,0.506
9,Elis,"Out of the darkness you came 
You looked so tired and sad 
I asked where you've been
You answered your voice was quiet
Out in the cold searching for love 
I said you don't have to search for love

Come to me, come to me
Rest your head on my shoulder
Come to me, come to me
Sleep in peace 

Your traveled through the world 
Tasted its food and its love
But never got satisfied
You were always looking for more 
Out in the cold searching for love
I say you don't have to search for love 

Come to me, come to me
Rest your head on my shoulder
Come to me, come to me
Sleep in peace 

I always loved you 
Just come to me
And you'll be at home

Come to me, come to me
Rest your head on my shoulder
Come to me, come to me
Sleep in peace",Come to Me,0.179
10,Elis,"Each night I lie in my bed 
And I think about it 
Oh my dark friend 
Can you give me an answer 

The people that we love
We cannot understand 
Every day the people that we love are hurt 
The people who we love 
And cannot understand
We cannot understand 

Do you believe we're the children of a God
Do you believe 
Or do you believe we're left here all alone
Do you believe 

I have this question
What is it for 
This poor life 
We live down here

Is there a power all above 
A person so called God 
So called God 
Who plans our life 
Or is it our free will 
The creator of our life 
Are we responsible 

The people that we love
We cannot understand 
Every day the people that we love are hurt 
The people who we love 
And cannot understand
We cannot understand 

Do you believe we're the children of a God
Do you believe 
Or do you believe we're left here all alone
Do you believe",Do You Believe,0.209
11,Elis,"Nebel zieh'n gespentisch vor 
Der Sucher setzt leis seinen Fuss 
Einsam unterm Sternenzelt 

Rastlose Suche in der Nacht 
Wandelnd zwischen Schlaf und Tod 
Nach einem Schattentraum

Furcht und Sehnsucht 
Folgen sinem Weg 
I'm Dammergarten scheint ein fahles Licht 

Engel der Nacht 
Ich warte auf dich
Engel der Nacht 
Verlasse mich nicht

Stund um Stund die Zeit verrinnt 
Sein Antlitz grau I'm Licht verfallt 
Der Tag strecktseine Arme aus 

Furcht und Sehnsucht 
Folgen sinem Weg 
I'm Dammergarten scheint ein fahles Licht 

Tod und Schweigen 
Folgen sinem Weg 
I'm Dammergarten scheint ein gold'nes Licht 

Engel der Nacht 
Ich warte auf dich
Engel der Nacht 
Verlasse mich nicht",Engel der Nacht,0.321
12,Elis,"I'm a lonely stranger 
In this world of pain

In my darkest hour 
I'm alone
Why did you leave me 

But one day
I will find you 
My heart and soul 
My only love 

Wandering through the fields 
Of disease 
Can you hear me calling 

Searching for a heart 
Which heals my wounds 

I'm not going to lose
My faith in love 
Just because you left me 

But one day
I will find you 
My heart and soul 
My only love",My Only Love,0.201
13,Elis,"Schwere Tranen 
Vergebens geweint 
Rinnen wie Silber 
In Sehnsucht vereint 

Verlassen und traurig
Geh'ich durch die Nacht 
Der Wind folgt mir nach 
Und trostet nuch sacht 

Hart wie Stein 
Und still ist mein Herz 
Ich kann's nicht mehr fuhlen 
Vorbei ist der Schmerz 

Ich hab es geschworen 
Dem Wind und dem Meer 
Dass bei mir niemals wieder 
Liebe einkehrt 

Doch ich erfasst mein Herz 
Mit voller Kraft 
Doch ich erfasst mein Herz 
Resist die Mauer ein 

Und es offnet sich wieder 
Vergessen der Eid 
Es gibt was es vermag 
Denkt nicht an das Leid 

Verlassen in der 
Lieblosen Zeit 
Liebe stromt aus 
Die Gefuhle entzweit 

Gib acht, gib acht
Die Stimme I'm Wind 
Gefuhle verletzbar 
Und sie machen dich blind 

Kind der Liebe 
Pass auf auf dein Herz 
Ein Blick auf das Meer 
Vergiss'nie den Schmerz 

Doch ich erfasst mein Herz 
Mit voller Kraft 
Doch ich erfasst mein Herz 
Reisst die Mauer ein",Sie Erfasst Mein Herz,0.218
14,Elis,"Come calm my anger

Our love is like a perfect sky
Deep blue and the sun is shining
But it seems that sometimes
There have to be some clouds

And suddenly I feel this destructive anger
Deep inside
And suddenly I feel this destructive anger
Is about to rise

Please come and calm this anger
You're the one to calm this anger
And if you can't calm this anger
It'll surely devour me this anger

Dark clouds is a perfect sky
And the air is getting colder
The rain starts to fall
We feel stormy wind in our faces

And suddenly I feel this destructive anger
Deep inside
And suddenly I feel this destructive anger
Is about to rise

Please come and calm this anger
You're the one to calm this anger
And if you can't calm this anger
It'll surely devour me this anger

Glaring lightning breaks the clouds
And thunder is rumbling loudly
The elements have turned mad
It seems that it all will break down

Please come and calm this anger
You're the one to calm this anger
And if you can't calm this anger
It'll surely devour me this anger




",Anger,0.306
15,Elis,"I was walking through the night
Suddenly I remarked a sound in the winds
An angel like voice singing a tale

Through the cold and stormy night
Flies an angel
The black angel
White skin, red lips and long black hair,
Her wing is broken
The guardian angel

Listening breathless to her voice
Which has touched me right there in my heart
I felt the tears run down my face

Through the cold and stormy night
Flies an angel
The black angel
White skin, red lips and long black hair,
Her wing is broken
The guardian angel

The storm drags on her clothes
Like an invisible warrior
Her wing broke with a sound
So disgusting that it froze my heart
Her voice became weaker
Losing this fight of blackness




",Black Angel,0.0958
16,Elis,"Why can't I hear you breath
Why can't I hold you now

You just told me on the phone
Bad news I can't believe they're true
Fate is so cruel to you it seems
It caught you at your weakest point
Nothing left of your whole world
Besides chaos and smoking ruins
You thought there's nothing more to lose
You're wrong and he presents the proof

Please fight the devil inside you
Not enough time for us to spend

Why can't I hear you breath
Why can't I hold you now

You will need all of your strength
I hope that you can carry on
You fought the shadows of the ghosts
Now he's the one you will fight next
Knocking at your door as if
He is a guest you like to see
Don't let him in, just push him back
He is not welcome in your house

Please fight the devil inside you
Not enough time for us to spend




",Devil Inside You,0.0894
17,Elis,"Your cold cold heart has drowned my life in pain
Your cold cold heart has tortured my mind and soul

You have never learnt
To leave your prison
Your heart lies in chains
And who will break them
Your heart lies in chains

Maybe you will find a way to forgive yourself
Your cold cold heart has drowned my life in pain
Maybe one day you will find the peace for your mind
Your cold cold heart has tortured my mind and soul

It tears you all apart
Restrained emotions
You're denying all your feelings
And it will break you
You're denying all your feelings

Maybe you will find a way to forgive yourself
Your cold cold heart has drowned my life in pain
Maybe one day you will find the peace for your mind
Your cold cold heart has tortured my mind and soul

Your cold cold heart has drowned my life in pain
Your cold cold heart has tortured my mind and soul
Your cold cold heart made wounds so deep, they will never heal




",Heart in Chains,0.21
18,Elis,"He took my soul
Took my soul
In his hands
My mind got dark
Mind got dark
In his hands

When did I begin
To follow the shadows
They fill my dreams with pain and sadness
When did I begin
To feel the sorrows
Then I laid my soul into your hands

He said sweet words
Said sweet words
With his voice
He seduced me softly
Seduced you
With his voice

When did I begin
To follow the shadows
They fill my dreams with pain and sadness
When did I begin
To feel the sorrows
Then I laid my soul into your hands

Once times were not so dark
But then the shadows took hold
Of my soul
Since then I feel
My mind's lost in madness

Lost my soul
In the dark
Lost my mind
In the dark




",Lost Soul,0.243
19,Elis,"Peel off my skin, make me helpless
Taste my body
Let me die in your sweet embrace

I never thought that I could find
Someone like you and still
I feel the union of souls
I never thought that I could find
A love so perfect and still
I'm here in your arms

Peel off my skin, make me helpless
Taste my body
Let me die in your sweet embrace

I never thought that I could find
Peace of mind and still
I'm staying here with you
I never thought that I could find
A lust so devouring and still
I'm caught in this passion
I never thought that I could find
All I was searching and still
I found you




",Perfect Love,0.232
20,Elis,"The long summer
Has gone
The autumn leaves
Start to fall

Yesterday I was touched by the breath of winter
His cold fingers searched for my heart
But in my heart I felt the warmth of this summer
So the first snowflakes melted away

The long summer
Has gone
The autumn leaves
Start to fall

I felt the world hold its breath
And everything turned slower
All was silent, softened by the snow
The world is going to sleep now
In a freezing white coat
But I know what I will see its rebirth

Silently
The world's breath is slow
Silently
The first snowflakes fall




",Rebirth,0.324
21,Elis,"In a night so long ago
We made this eternal vow

We are brothers
Raised by our mother?s loving hand
We are brothers
Forever together we will stand

Since the day that you were born
I felt your special energy
In your body painfully torn
They are too blind they cannot see

We are brothers
Raised by our mother?s loving hand
We are brothers
Forever together we will stand

Wherever you go, they listen to you
A perfect body hides a perfect soul
One day to come they?ll follow
Eternal truth will be our highest goal

Be aware of your fate
Your future looks black
Fire in the air
Burn!

We make this eternal vow
Through us your love will grow
Oh mother you will see
Your knowledge sets us free

We are brothers
Raised by our mother?s loving hand
We are brothers
Forever together we will stand",Brothers,0.528
22,Elis,"Burn!
Destroy!
Die!

Now the time has come
To destroy everything we had before
Are you ready for the run
Through a painful river to the other shore

Come with me 'cause I save you
Salvation
O Brother don't you see you crossed the line
I'm waiting with arms wide open
Salvation
Into your arms we run, you shall be our redeemer lead
Us to salvation

I swear tonight
I'll be the guardian of your fate
For the rest of my life
My dearest maid
Of the ones I loved the most
But I lost them forever now

Oh Mother he killed them all but still
I hear someone's crying


St'hnen und Schreien

You are the only one who's left
My dearest maiden

Now the time has come
We destroyed everything we had before
We are already on the run
Through the painful river to the other shore

In my arms you all are burning
Salvation
Oh brother don't leave me forever now
I'm dying 'cause I save you
Salvation
In your arms we burn you are not a redeemer there is no
Salvation

I swear tonight
I'll be the guardian of your fate
For the rest of my life
My dearest maid
Of the ones I loved the most
But I lost them forever now",The Burning,0.141
23,Elis,"Past is haunting me, fragments of memory
Disturb my peace of mind
Hours of delight now seem a thousand years away
I was a fool to let you go

My heart and soul are filled with sadness
Deep as gray oceans in your eyes
My heart and soul are filled with sadness
Despair spreads its fingers around my mind

Days of love and hope were followed by aeons of loneliness
As darkness sunk into our hearts
The other one's shadow stood between us
A silent wall of doom darkening the sky

My heart and soul are filled with sadness
Deep as gray oceans in your eyes
My heart and soul are filled with sadness
Despair spreads its fingers around my mind

Only memories remain in a world now cold and dark
Where flowers grew, now dust has covered everything
Crying doesn't help anymore so what can I do?
Torn in pieces is my heart, I don't know where to go

My heart and soul are filled with sadness
Deep as gray oceans in your eyes
My heart and soul are filled with sadness
Despair spreads its fingers around my mind

God, how I wish you back
But my mistakes can never be undone
And I fear you forgot our love

",Forgotten Love,0.249
24,Elis,"Don't dare to leave
You can't make a single step without me
Don't dare to go
Or you will be lost forever
Oh, do you remember
Your heart and soul are in my hand

Innocent hearts are made of glass
Fragile and pure
Innocent hearts break easily
Innocent hearts are open books
Lovely to read
Innocent hearts burn easily

Stay here with me
One last step our souls will be redeemed
Stay her with me
You will lose her forever
Oh, do you remember
Your heart and soul are in my hand


Innocent hearts are made of glass
Fragile and pure
Innocent hearts break easily
Innocent hearts are open books
Lovely to read
Innocent hearts burn easily

You belong to us
You can't leave now
You belong to us
You are a part of us
You can't go now
You are a part of us

Innocent hearts are made of glass
Fragile and pure
Innocent hearts break easily
Innocent hearts are open books
Lovely to read
Innocent hearts burn easily",Innocent Hearts,0.273
25,Elis,"We will rise
From the ashes
Many days and many years
I tried to live how she told me
But I was yearning for something more
To fill the emptiness inside
And it never was enough
To fill me up
And it never was enough

For my restless mind
Phoenix from the ashes
Our wounds will be healed
Phoenix from the ashes

We'll be born again and rise
Now that I have found a way

To salvation I know I will be
So much stronger than before

Nothing will ever break me
And it's gonna be enough
To fill me up
And it's gonna be enough
For my restless mind

Phoenix from the ashes
Our wounds will be healed
Phoenix from the ashes
We'll be born again and rise

We will rise
From the ashes",Phoenix from the Ashes,0.21
26,Elis,"Like young birds in the sky they have to use
Their own wings and fly
But if you take them too high
They will fall and die

Leave me alone

Oh brother
Wake up, stand up, you are still living in a world of
Dreams
My brother
Wake up, stand up and join the keepers of the truth
Oh brother
Wake up, stand up, they are too weak alone it seems
My brother
Wake up, stand up, remember the promise of our youth

We will follow him to the sky so high
We will never fall, we will never die
You're an eagle in the sky
You know how to use your wings to fly
But if you rise to high
You will fall and die

Leave me alone

Oh brother
Wake up, stand up, you are still living in a world of
Dreams
My brother
Wake up, stand up and join the keepers of the truth
Oh brother
Wake up, stand up, they are too weak alone it seems
My brother
Wake up, stand up, remember the promise of our youth
Oh brother
Wake up, stand up, you are still living in a world of
Dreams
My brother
Wake up, stand up, remember the promise of our youth

Leave me alone

Remember the Promise",Remember the Promise,0.288
27,Elis,"It was a hard way to get here
But now it seems so clear
I'll find everything inside of me

Mind body and soul
Life love and healing
Connect be connected
Nine words to change your whole life

Oh mother, keeper of eternal truth

You show me the way
You show me that everything I ever need in my whole
life
Lies there inside of me
Lies there inside of me

Feeling useless and ashamed
I was the one to blame
Thought there's nothing good inside of me

Mind body and soul
Life love and healing
Connect be connected
Nine words to change your whole life

Oh mother, seekers find truth in you

You show me the way
You show me that everything I ever need in my whole
life
Lies there inside of me.
Lies there inside of me

You show me the way
You show me that everything lies there inside of me

You show me the way
You show me that everything I ever need in my whole
life
Lies there inside of me
Lies there inside of me
Lies there inside of me
Lies there inside of me",Show Me the Way,0.362
28,Elis,"Time heals the wounded but my heart still
Bleeds,
I can't get you out of my life
Here is my confession, you're all I need
I don't want to love you but oh oh oh

With the touch of your hand I come undone
With the flash of your burning eyes I know
That you're the only one
I come, I come undone, I come undone

Your footsteps are heartbeats
There's knocking on my door
I swore that I won't let you in
Love's got its heroes but I know that I just
Can't hold out forever and oh, oh oh


With the touch of your hand I come undone
With the flash of your burning eyes I know
That you're the only one
I come, I come undone, I come undone

Don't know what you're doing to me
Cause when your arms reach out I'm gone
Here is my confession, you're all that I need
I don't want to love you but oh, oh oh

With the touch of your hand I come undone
With the flash of your burning eyes I know that
You're the only one
I come, I come undone, I come, I come undone",I Come Undone,0.227
29,Elis,"You are not an enemy anymore
There's a ray of light upon your face now
I can look into your eyes
And I never thought
It could be so simple
You can hear the music with no sounds
You can heal my heart without me knowing
I can cry in front of you
'Cause you're not afraid to face my weakness

When we'll wake up
Some morning rain
Will wash away our pain
When we'll wake up
Some morning rain
Will wash away our pain

'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us

You're not my enemy anymore
There's a ray of light upon your face now
It will be all new again
There is something else
Just 'round the corner

So when we'll wake up
Some morning rain
Will wash away our pain
When we'll wake up
Some morning rain
Will wash away our pain

'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us

I was looking for a place to stay
Are you looking for a place to stay

No it never began for us
'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us",Rainbow,0.191
